DAY_ID,ROUTE_ID,STORE_NUMBER,DAY_OF_WEEK,HELPER,TOTAL_WEIGHT,CASES,URBANITY,UNLOAD_TIME
1,1,176,1,False,76.7593117259177,16,U,46.57937051484498
4,1,176,4,False,54.21823725948434,11,U,32.69801016069841
5,2,176,5,False,80.91154869926758,17,U,49.06046301004659
6,5,176,6,False,65.97072008814786,14,U,35.21905605125541
8,4,176,1,False,60.33454808367384,13,U,38.3518545719728
10,1,176,3,False,70.117359859483,15,U,43.98399611386471
13,1,176,6,True,59.223369035292386,12,U,16.438403984874554
18,6,176,4,False,54.59240073486195,11,U,34.87247790260267
19,7,176,5,False,71.82320398488139,15,U,43.886983166943466
20,4,176,6,False,78.92220414181615,16,U,47.46819390904519
22,2,176,1,True,48.86962669950871,10,U,17.546187293594457
26,9,176,5,False,47.85398363406924,10,U,29.204692461301825
32,6,176,4,False,61.55726043904825,13,U,42.2093824603323
33,5,176,5,False,48.67487612157531,10,U,28.795492567576527
34,8,176,6,False,58.21328915859579,12,U,36.23882957299729
35,6,176,0,True,53.91510354185497,11,U,19.131761304728357
37,4,176,2,False,48.98087619159685,10,U,26.232810198780527
38,6,176,3,True,38.31073271652414,8,U,13.48787925116426
40,5,176,5,False,54.12567244027683,11,U,28.784864459073486
41,6,176,6,False,64.66344666615748,13,U,44.78832783676016
42,5,176,0,False,65.40019280148512,14,U,42.55028759009327
43,1,176,1,False,41.65980402647615,9,U,20.912932446455883
52,3,176,3,False,71.2512943510109,15,U,46.05549449391968
54,6,176,5,False,57.370241285074115,12,U,35.03299778370102
55,2,176,6,False,55.74847652876468,12,U,31.573482999038863
56,8,176,0,False,50.193823990058796,11,U,26.391552697493015
57,8,176,1,False,37.76603300506808,8,U,23.31542556013826
58,2,176,2,False,40.10283775276028,9,U,29.853554924878395
60,6,176,4,False,45.63462100648506,10,U,34.60005558961707
63,3,176,0,False,49.75375948576648,10,U,31.043908121111386
66,2,176,3,False,63.115886257236525,13,U,34.933359050930974
68,9,176,5,False,67.04473446174791,14,U,45.99478744196763
72,2,176,2,False,43.52424663637753,9,U,23.960792278209567
73,6,176,3,False,51.370626165041756,11,U,29.894084428061795
74,7,176,4,False,75.53065345516684,16,U,46.17273089327284
75,3,176,5,False,43.764145453525785,9,U,31.336968086861262
77,8,176,0,False,58.841068061128915,12,U,33.02017443620115
78,2,176,1,False,35.62662097214878,8,U,22.421421103476487
86,3,176,2,False,68.11803232938485,14,U,43.52352916430322
87,2,176,3,False,57.53874660489738,12,U,26.945874795800766
88,6,176,4,False,41.588205819595004,9,U,19.64546003901104
90,3,176,6,False,81.43732398769426,17,U,44.15023066318647
91,6,176,0,False,53.464252726162925,11,U,34.09691309260651
95,7,176,4,False,41.0213311324638,9,U,27.150251905994157
97,2,176,6,True,70.96467772838133,15,U,24.837767018649284
100,2,176,2,False,48.49393691058791,10,U,31.371405508620597
103,1,176,5,False,54.735743212900914,11,U,41.55061709993524
104,2,176,6,False,59.25268216071647,12,U,37.47228261055029
105,9,176,0,False,32.13531621625759,7,U,24.33738027934944
108,5,176,3,False,52.25577834066435,11,U,35.10110491897437
110,8,176,5,False,38.51461110728417,8,U,25.507825278867347
112,2,176,0,False,76.4550024801303,16,U,49.251687842432645
113,5,176,1,False,39.842292415481474,8,U,27.05539384401462
116,5,176,4,False,70.14973923555684,15,U,40.92214622687841
119,3,176,0,False,61.48383225987765,13,U,37.67900962898389
124,3,176,5,False,63.24608468101076,13,U,38.94641174012559
129,1,176,3,False,48.17395903172502,10,U,27.719675325674547
131,9,176,5,False,53.694253561959314,11,U,30.557184970474594
133,5,176,0,False,58.662081576220274,12,U,38.55939864113079
134,2,176,1,False,52.62548009944929,11,U,28.354811107614193
135,5,176,2,True,51.436950739803265,11,U,17.54289211143302
136,5,176,3,False,53.459218422401044,11,U,31.44905216387879
141,5,176,1,False,33.2317772578712,7,U,19.415475286256562
142,5,176,2,False,61.19928698533185,13,U,36.71922033917674
147,1,176,0,False,51.285841479045,11,U,31.570067662300403
148,3,176,1,False,46.85424798434927,10,U,34.17239172145443
149,5,176,2,True,60.87715379182888,13,U,18.20796468647337
152,4,176,5,False,65.87308154858172,14,U,40.94400057237562
153,1,176,6,False,62.000571203966075,13,U,38.94620391788309
154,1,176,0,False,57.31447090436975,12,U,34.54687406876622
159,4,176,5,False,46.59029506406429,10,U,32.61585384711266
160,3,176,6,False,41.63148972534695,9,U,27.94011931088755
161,1,176,0,False,44.95371187804021,9,U,29.85037967891412
164,6,176,3,True,47.58669219092228,10,U,13.763422073441728
165,5,176,4,False,52.31184060720165,11,U,28.70679602279373
167,6,176,6,False,52.3285839585823,11,U,32.991387680069934
169,4,176,1,False,47.48907338660195,10,U,29.390284718493234
170,4,176,2,False,90.81923086964461,19,U,53.55550331801931
173,6,176,5,False,56.75089913784474,12,U,36.22533065476533
177,1,176,2,False,71.9105668791562,15,U,41.70713507623017
178,1,176,3,False,64.71050482809186,13,U,37.54311601775652
179,6,176,4,False,52.903221019500904,11,U,36.733562014960356
1,1,75,1,False,56.39489250887872,12,S,25.962762229023586
3,2,75,3,False,54.97691138034807,11,S,30.567057107876327
6,5,75,6,False,47.99619362517041,10,S,26.285984395794728
8,2,75,1,False,75.06088889309784,16,S,39.28666080635525
9,1,75,2,False,63.63362287296204,13,S,34.072293791020144
11,6,75,4,True,43.398918119218536,9,S,12.208789071412685
16,2,75,2,False,53.99076538364175,11,S,25.519003269333997
